DISTRICTE,CODI_ILLA,SECC_CENS,BARRI,NOM_DISTRICTE,NOM_BARRI,AEB,NUM_PARC,NUM_LOCALS,NUM_VIVENDES,NUM_PARKINGS,NUM_ALTRES,SUP_CONS,SUP_SOBRE_RASANT,SUP_SOTA_RASANT,SUP_LOCALS,SUP_SERVEIS,SUP_SOL,DATA_DADES
3,71400,82,17,Sants-Montjuïc,Sants - Badal,71,5,17,3,1,8,1136,1136,0,,,1231,01/09/2023 00:06:16
3,71410,82,17,Sants-Montjuïc,Sants - Badal,71,12,283,177,15,70,23481,21507,1974,,,3856,01/09/2023 00:06:16
3,71420,83,17,Sants-Montjuïc,Sants - Badal,71,46,845,447,258,86,57484,50939,6545,,,15017,01/09/2023 00:06:16
3,71430,82,17,Sants-Montjuïc,Sants - Badal,71,28,362,163,104,64,21388,17953,3435,,,4530,01/09/2023 00:06:16
3,71440,82,17,Sants-Montjuïc,Sants - Badal,71,16,893,202,578,64,38083,26417,11666,,,6257,01/09/2023 00:06:16
3,71450,81,17,Sants-Montjuïc,Sants - Badal,71,17,388,94,167,28,21683,17958,3725,,,3626,01/09/2023 00:06:16
3,71460,81,17,Sants-Montjuïc,Sants - Badal,71,21,570,182,311,59,27722,20342,7380,,,5006,01/09/2023 00:06:16
3,71470,81,17,Sants-Montjuïc,Sants - Badal,71,27,842,470,241,74,58697,52980,5717,,,9406,01/09/2023 00:06:16
3,71610,86,18,Sants-Montjuïc,Sants,72,22,1211,598,508,98,92463,74329,18134,,,12361,01/09/2023 00:06:16
3,71620,87,18,Sants-Montjuïc,Sants,72,32,1029,627,204,108,91906,82752,9154,,,15705,01/09/2023 00:06:16
3,71630,88,18,Sants-Montjuïc,Sants,72,14,523,224,241,40,32481,25157,7324,,,5678,01/09/2023 00:06:16
3,71640,88,18,Sants-Montjuïc,Sants,72,8,269,181,0,58,20964,19224,1740,,,2582,01/09/2023 00:06:16
3,71693,64,16,Sants-Montjuïc,la Bordeta,69,17,515,207,240,67,50020,38188,11832,,,12651,01/09/2023 00:06:16
3,71701,66,16,Sants-Montjuïc,la Bordeta,69,28,1573,1007,353,200,115478,98285,17193,,,20711,01/09/2023 00:06:16
3,71702,64,16,Sants-Montjuïc,la Bordeta,69,8,486,317,124,45,32189,31503,686,,,13000,01/09/2023 00:06:16
3,71703,67,16,Sants-Montjuïc,la Bordeta,69,19,1390,724,507,147,88801,77668,11133,,,13630,01/09/2023 00:06:16
3,71704,??,16,Sants-Montjuïc,la Bordeta,??,14,1643,994,507,117,114893,92275,22618,,,17734,01/09/2023 00:06:16
3,71705,64,16,Sants-Montjuïc,la Bordeta,69,2,0,0,0,0,0,0,0,,,481,01/09/2023 00:06:16
3,71706,64,16,Sants-Montjuïc,la Bordeta,69,3,103,0,6,97,23829,13932,9897,,,11562,01/09/2023 00:06:16
3,71710,64,16,Sants-Montjuïc,la Bordeta,69,1,46,0,6,40,38024,33232,4792,,,5874,01/09/2023 00:06:16
3,71723,63,16,Sants-Montjuïc,la Bordeta,69,31,1229,312,685,180,97230,75302,21928,,,89961,01/09/2023 00:06:16
3,71730,61,16,Sants-Montjuïc,la Bordeta,68,15,237,216,0,19,18137,18137,0,,,4756,01/09/2023 00:06:16
